,Player 1,Player 1 ID,Player 2,Player 2 ID,Set Score,Game Score,Point Score,Serving?
0,Krajicek A.,105572,Young D.,112486,1-1,0-0,30-30,Serving
1,Krajicek A.,105572,Young D.,112486,1-1,0-0,40-30,Serving
2,Krajicek A.,105572,Young D.,112486,1-1,1-0,0-0,Returning
3,Krajicek A.,105572,Young D.,112486,1-1,1-0,0-30,Returning
4,Krajicek A.,105572,Young D.,112486,1-1,1-0,0-40,Returning
5,Krajicek A.,105572,Young D.,112486,1-1,1-1,0-0,Serving
6,Krajicek A.,105572,Young D.,112486,1-1,1-1,0-15,Serving
7,Krajicek A.,105572,Young D.,112486,1-1,1-1,0-30,Serving
8,Krajicek A.,105572,Young D.,112486,1-1,1-1,15-30,Serving
9,Krajicek A.,105572,Young D.,112486,1-1,1-1,30-30,Serving
10,Krajicek A.,105572,Young D.,112486,1-1,1-1,40-30,Serving
11,Krajicek A.,105572,Young D.,112486,1-1,2-1,0-0,Returning
12,Krajicek A.,105572,Young D.,112486,1-1,2-1,15-15,Returning
13,Krajicek A.,105572,Young D.,112486,1-1,2-1,15-30,Returning
14,Krajicek A.,105572,Young D.,112486,1-1,2-1,30-30,Returning
15,Krajicek A.,105572,Young D.,112486,1-1,2-1,30-40,Returning
16,Krajicek A.,105572,Young D.,112486,1-1,2-1,40-40,Returning
17,Krajicek A.,105572,Young D.,112486,1-1,2-1,A-40,Returning
18,Krajicek A.,105572,Young D.,112486,1-1,3-1,0-0,Serving
19,Krajicek A.,105572,Young D.,112486,1-1,3-1,15-0,Serving
20,Krajicek A.,105572,Young D.,112486,1-1,3-1,15-15,Serving
21,Krajicek A.,105572,Young D.,112486,1-1,3-1,30-15,Serving
22,Krajicek A.,105572,Young D.,112486,1-1,3-1,40-15,Serving
23,Krajicek A.,105572,Young D.,112486,1-1,3-1,40-30,Serving
24,Krajicek A.,105572,Young D.,112486,1-1,4-1,0-0,Returning
25,Krajicek A.,105572,Young D.,112486,1-1,4-1,0-15,Returning
26,Krajicek A.,105572,Young D.,112486,1-1,4-1,0-30,Returning
27,Krajicek A.,105572,Young D.,112486,1-1,4-1,0-40,Returning
28,Krajicek A.,105572,Young D.,112486,1-1,4-2,0-0,Serving
29,Krajicek A.,105572,Young D.,112486,1-1,4-2,0-15,Serving
30,Krajicek A.,105572,Young D.,112486,1-1,4-2,15-15,Serving
31,Krajicek A.,105572,Young D.,112486,1-1,4-2,15-30,Serving
32,Krajicek A.,105572,Young D.,112486,1-1,4-2,30-30,Serving
33,Krajicek A.,105572,Young D.,112486,1-1,4-2,40-30,Serving
34,Krajicek A.,105572,Young D.,112486,1-1,5-2,0-0,Returning
35,Krajicek A.,105572,Young D.,112486,1-1,5-2,15-15,Returning
36,Krajicek A.,105572,Young D.,112486,1-1,5-2,15-30,Returning
37,Krajicek A.,105572,Young D.,112486,1-1,5-2,30-30,Returning
38,Krajicek A.,105572,Young D.,112486,1-1,5-2,30-40,Returning
39,Krajicek A.,105572,Young D.,112486,1-1,5-3,0-0,Serving
40,Krajicek A.,105572,Young D.,112486,1-1,5-3,0-15,Serving
41,Krajicek A.,105572,Young D.,112486,1-1,5-3,0-30,Serving
42,Krajicek A.,105572,Young D.,112486,1-1,5-3,15-30,Serving
43,Krajicek A.,105572,Young D.,112486,1-1,5-3,15-40,Serving
44,Krajicek A.,105572,Young D.,112486,1-1,5-4,0-0,Returning
45,Krajicek A.,105572,Young D.,112486,1-1,5-4,0-15,Returning
46,Krajicek A.,105572,Young D.,112486,1-1,5-4,15-15,Returning
47,Krajicek A.,105572,Young D.,112486,1-1,5-4,15-30,Returning
48,Krajicek A.,105572,Young D.,112486,1-1,5-4,30-30,Returning
49,Krajicek A.,105572,Young D.,112486,1-1,5-4,30-40,Returning
50,Krajicek A.,105572,Young D.,112486,1-1,5-5,0-0,Serving
51,Krajicek A.,105572,Young D.,112486,1-1,5-5,0-15,Serving
52,Krajicek A.,105572,Young D.,112486,1-1,5-5,0-30,Serving
53,Krajicek A.,105572,Young D.,112486,1-1,5-5,0-40,Serving
54,Krajicek A.,105572,Young D.,112486,1-1,5-5,15-40,Serving
55,Krajicek A.,105572,Young D.,112486,1-1,5-5,30-40,Serving
56,Krajicek A.,105572,Young D.,112486,1-1,5-6,0-0,Returning
57,Krajicek A.,105572,Young D.,112486,1-1,5-6,0-15,Returning
58,Krajicek A.,105572,Young D.,112486,1-1,5-6,15-15,Returning
59,Krajicek A.,105572,Young D.,112486,1-1,5-6,15-30,Returning
60,Krajicek A.,105572,Young D.,112486,1-1,5-6,15-40,Returning
